"R, кОм","x_1, см","x_2, см","x_{1~real}, см","x_{2~real}, см",\Theta,\sigma_\Theta,1/\Theta^2,\sigma_{1/\Theta^2},"(R+R_0)^2, Ом^2*10^9"
32,"23,3","4,6","22,6","3,9","5,79","0,871","0,17","0,04","1,06"
35,"21,4","4,9","20,7","4,2","4,93","0,706","0,20","0,04","1,26"
40,"19,0","5,2","18,3","4,5","4,07","0,563","0,25","0,05","1,65"
45,"17,0","5,2","16,3","4,5","3,62","0,514","0,28","0,05","2,08"
50,"15,4","5,1","14,7","4,4","3,34","0,493","0,30","0,06","2,56"
55,"14,2","5,3","13,5","4,6","2,93","0,428","0,34","0,07","3,09"
60,"13,2","5,4","12,5","4,7","2,66","0,389","0,38","0,08","3,67"
70,"11,1","5,3","10,4","4,6","2,26","0,354","0,44","0,10","4,98"
80,"10,3","4,9","9,6","4,2","2,29","0,391","0,44","0,10","6,49"
90,"9,2","4,8","8,5","4,1","2,07","0,375","0,48","0,12","8,20"
