"U1, В","I, дел","I, мА","U1, В","I, дел","I, мА"
"30,3",36,"1,44","24,2",51,"2,04"
"31,3",34,"1,36","23,8",53,"2,12"
"30,8",35,"1,40","23,3",55,"2,20"
"31,4",33,"1,32","22,7",58,"2,32"
"31,8",32,"1,28","22,2",61,"2,44"
"32,0",31,"1,24","21,7",64,"2,56"
"32,2",30,"1,20","21,4",67,"2,68"
"32,3",29,"1,16","21,0",70,"2,80"
"32,4",27,"1,08","20,8",73,"2,92"
"32,6",24,"0,96","20,6",76,"3,04"
"32,7",23,"0,92","20,4",79,"3,16"
"33,0",21,"0,84","20,1",82,"3,28"
"33,3",19,"0,76","20,0",85,"3,40"
"33,6",17,"0,68","19,8",88,"3,52"
"33,9",15,"0,60","19,7",91,"3,64"
"34,4",13,"0,52","19,5",94,"3,76"
"29,8",37,"1,48","19,4",97,"3,88"
"29,2",38,"1,52","19,4",100,"4,00"
"28,8",39,"1,56","19,3",105,"4,20"
"27,4",41,"1,64","19,2",110,"4,40"
"26,5",43,"1,72","19,2",115,"4,60"
"25,6",45,"1,80","19,0",120,"4,80"
"25,2",47,"1,88","19,0",125,"5,00"
"24,7",49,"1,96",,,
