Пункт 9,Тау = 50мкс,,Пункт 9,Тау = 100мкс,
N,"частота, кГц","ампл, мВ",N,"частота, кГц","ампл, мВ"
1,1,"3,23",1,1,"6,35"
2,2,"3,07",2,2,"5,89"
3,3,"3,01",3,3,"5,35"
4,4,"2,89",4,4,"4,64"
5,5,"2,73",5,5,"3,87"
6,6,"2,53",6,6,"3,01"
7,7,"2,34",7,7,"2,13"
8,8,"2,13",8,8,"1,29"
9,9,"1,95",9,9,"0,61"
10,10,"1,82",10,10,"0,00"
11,11,"1,69",11,11,"0,52"
12,12,"1,59",12,12,"0,91"
13,13,"1,33",13,13,"1,21"
14,14,"1,10",14,14,"1,33"
15,15,"0,91",15,15,"1,32"
16,16,"0,74",16,16,"1,18"
17,17,"0,49",17,17,"0,93"
18,18,"0,30",18,18,"0,63"
19,19,"0,16",19,19,"0,31"
,,,20,20,"0,00"
