"dfm, Гц",А0,"А-1, мВ",А+1мВ,"А-2, мВ","А+2, мВ",A-1/A0,beta
100,"321,0","15,0","15,0",,,"0,05","0,1"
200,"320,6","32,6","32,6",,,"0,10","0,2"
300,"316,2","48,3","48,3",,,"0,15","0,3"
400,"310,0","64,6","64,6",,,"0,21","0,4"
500,"303,0","78,4","78,4","10,7","10,7","0,26","0,5"
600,"294,2","93,5","93,5","13,2","13,2","0,32","0,6"
700,"284,2","108,5","108,5","18,2","18,2","0,38","0,7"
800,"272,3","121,1","121,1","25,1","25,1","0,44","0,8"
900,"259,1","133,0","133,0","30,1","30,1","0,51","0,9"
1000,"247,2","144,3","144,3","37,6","37,6","0,58","1,0"
