Phi_1,psi,"phi_1, rad","psi, rad","phi_2, rad",n_обыкн,cos\theta,Cos^2\theta
"10,0",34,"0,17","0,59","1,10","1,64","0,11","0,01"
"12,5",31,"0,22","0,54","1,00","1,62","0,13","0,02"
"15,0",30,"0,26","0,52","0,94","1,63","0,16","0,03"
"17,5",30,"0,31","0,52","0,90","1,64","0,18","0,03"
"20,0",28,"0,35","0,49","0,82","1,62","0,21","0,04"
"22,5",28,"0,39","0,49","0,78","1,63","0,23","0,05"
"25,0",27,"0,44","0,47","0,72","1,62","0,26","0,07"
"27,5",27,"0,48","0,47","0,67","1,63","0,28","0,08"
"30,0",27,"0,52","0,47","0,63","1,63","0,31","0,09"
"32,5",27,"0,57","0,47","0,58","1,63","0,33","0,11"
"35,0",27,"0,61","0,47","0,54","1,63","0,35","0,12"
"37,5",27,"0,65","0,47","0,50","1,63","0,37","0,14"
"40,0",27,"0,70","0,47","0,45","1,62","0,40","0,16"
"42,5",28,"0,74","0,49","0,43","1,64","0,41","0,17"
"45,0",28,"0,79","0,49","0,38","1,63","0,43","0,19"
"47,5",29,"0,83","0,51","0,36","1,64","0,45","0,20"
"50,0",30,"0,87","0,52","0,33","1,65","0,46","0,22"
"52,5",30,"0,92","0,52","0,29","1,64","0,48","0,24"
"55,0",31,"0,96","0,54","0,26","1,64","0,50","0,25"
"57,5",32,"1,00","0,56","0,24","1,65","0,51","0,26"
"60,0",33,"1,05","0,58","0,21","1,65","0,53","0,28"
"62,5",34,"1,09","0,59","0,18","1,64","0,54","0,29"
"65,0",35,"1,13","0,61","0,16","1,64","0,55","0,31"
"67,5",37,"1,18","0,65","0,15","1,66","0,56","0,31"
"70,0",38,"1,22","0,66","0,12","1,65","0,57","0,33"
