Phi_1,psi,"phi_1, rad","psi, rad","phi_2, rad",n_необыкн,"theta, rad",Cos^2\theta
"10,0",22,"0,17","0,38","0,89","1,46","0,12","0,01"
"12,5",22,"0,22","0,38","0,85","1,47","0,15","0,02"
"15,0",21,"0,26","0,37","0,79","1,47","0,18","0,03"
"17,5",21,"0,31","0,37","0,74","1,48","0,20","0,04"
"20,0",21,"0,35","0,37","0,70","1,48","0,23","0,05"
"22,5",20,"0,39","0,35","0,64","1,47","0,26","0,07"
"25,0",20,"0,44","0,35","0,59","1,47","0,29","0,08"
"27,5",20,"0,48","0,35","0,55","1,47","0,31","0,10"
"30,0",20,"0,52","0,35","0,51","1,48","0,34","0,11"
"32,5",20,"0,57","0,35","0,46","1,47","0,36","0,13"
"35,0",21,"0,61","0,37","0,44","1,49","0,38","0,15"
"37,5",21,"0,65","0,37","0,39","1,49","0,41","0,17"
"40,0",21,"0,70","0,37","0,35","1,48","0,43","0,19"
"42,5",22,"0,74","0,38","0,32","1,50","0,45","0,20"
"45,0",23,"0,79","0,40","0,30","1,51","0,47","0,22"
"47,5",23,"0,83","0,40","0,25","1,50","0,49","0,24"
"50,0",24,"0,87","0,42","0,23","1,51","0,51","0,26"
"52,5",25,"0,92","0,44","0,20","1,52","0,52","0,27"
"55,0",25,"0,96","0,44","0,16","1,50","0,55","0,30"
"57,5",26,"1,00","0,45","0,13","1,51","0,56","0,31"
"60,0",27,"1,05","0,47","0,10","1,51","0,57","0,33"
"62,5",29,"1,09","0,51","0,10","1,53","0,58","0,34"
"65,0",30,"1,13","0,52","0,07","1,53","0,59","0,35"
"67,5",32,"1,18","0,56","0,06","1,54","0,60","0,36"
"70,0",33,"1,22","0,58","0,03","1,54","0,61","0,37"
